kr,eng
"아무리 중대한 실수를 저질렀더라도 항상 또 다른 기회는 있다. 우리가 실패라 부르는 것은 추락하는 것이 아니라 내려간 채로 있는 것이다. (메리 픽포드, 실패명언)","If you have made mistakes, even serious ones, there is always another chance for you. What we call failure is not the falling down but the staying down. (Mary Pickford)"
"승리하는 것이 좋다는 말을 들어보았는가? 지는 것도 좋다고 나는 말하고 싶다. 전쟁에서는 이길 때와 같은 정신 상태로 지기도 한다. (월트 위트먼, 실패명언)","Have you heard that it was good to gain the day? I also say it is good to fall, battles are lost in the same spirit in which they are won. (Walt Whitman)"
"인간은 모든 종류의 실수를 하겠지만, 관대하고 진실하며 열정이 있는 한 세상에 피해를 주거나 심각한 화를 부르진 못한다. (윈스턴 처칠, 실패명언)","You will make all kinds of mistakes but as long as you are generous and true and fierce you cannot hurt the world, or even seriously distress her. (Sir Winston Churchill)"
"남의 충고에 따라 옳은 일을 하여 얻는 것보다 스스로 애쓰다 잘못한 실수를 통해 더 많은 것을 얻을 수 있다고 감히 말하겠어요. (윌리엄 서머셋 모옴, 실패명언)",I daresay one profits more by the mistakes one makes off one's own bat than by doing the right thing on somebody's else advice. (William Somerset Maugham)
"나는 작곡가로 사는 동안 지식과 지혜의 원천을 통해서가 아니라, 내 실수와 잘못된 추정을 통해 배움을 얻었다. (이고르 스트라빈스키, 실패명언)","I have learned throughout my life as a composer chiefly through my mistakes and pursuits of false assumptions, not by my exposure to founts of wisdom and knowledge. (Igor Stravinsky)"
"우자가 현자에게 배우는 것보다 현자가 우자에게 배우는 것이 더 많다. 현자는 우자의 실수를 타산지석 삼아 피하지만, 우자는 현자의 성공을 따라하지 않기 때문이다. (카토, 실패명언)","Wise men profit more from fools than fools from wise men; for the wise men shun the mistakes of fools, but fools do not imitate the successes of the wise. (Cato the Elder)"
"완벽을 위해 노력한다 할지라도 그 결과는 놀라울 정도로 다양한 불완전함이다. 너무도 다양한 방식으로 실패할 수 있는 우리의 다재다능함이 놀라울 뿐이다. (사무엘 맥코드 크로터스, 실패명언)","Try as hard as we may for perfection, the net result of our labors is an amazing variety of imperfectness. We are surprised at our own versatility in being able to fail in so many different ways. (Samuel McChord Crothers)"
"실수를 범했을때 오래 뒤돌아보지 말라. 실수의 원인을 마음에 잘 새기고 앞을 내다보라. 실수는 지혜의 가르침이다. 과거를 바꿀 순 없지만 미래는 아직 당신 손에 달려 있다. (휴 화이트, 실패명언)","When you make a mistake, don't look back at it long. Take the reason of the thing into your mind and then look forward. Mistakes are lessons of wisdom. The past cannot be changed. The future is yet in your power. (Hugh White)"
"실수는 인간의 일부다. 네 실수의 실체를 음미하라. 실수는 어렵게만 얻을 수 있는 소중한 삶의 교훈임을 음미하라. 치명적 실수는 예외지만, 이 경우에도 남들은 이 실수로부터 교훈을 얻을 수 있다. (알 프랑켄, 실패명언)","Mistakes are a part of being human. Appreciate your mistakes for what they are: precious life lessons that can only be learned the hard way. Unless it's a fatal mistake, which, at least, others can learn from. (Al Franken)"
"실패에 낙담 말라. 긍정적인 경험이 될 수 있다. 어떤 의미에서 실패는 성공으로 가는 고속도로와 같다. 오류를 발견할 때마다 진실을 열심히 추구하게 되고, 새로운 경험을 할 때마다 신중히 피해야 할 오류를 알게 되기 때문이다. (존 키츠, 실패명언)","Don't be discouraged by a failure. It can be a positive experience. Failure is, in a sense, the highway to success, inasmuch as every discovery of what is false leads us to seek earnestly after what is true, and every fresh experience points out some form of error which we shall afterwards carefully avoid. (John Keats)"
"성공하기까지는 항상 실패를 거친다. (미키 루니, 성공명언)",You always pass failure on the way to success. (Mickey Rooney)
"실패하는 것은 곧 성공으로 한 발짝 더 나아가는 것이다. (메리 케이 애쉬, 성공명언)",People fail forward to success. (Mary Kay Ash)
"단 1분의 성공이 몇 년의 실패를 보상한다. (로버트 브라우닝, 성공명언)",A minute's success pays the failure of years. (Robert Browning)
"성공은 영원하지 않고, 실패는 치명적이지 않다. (마이크 디트카, 성공명언)","Success isn't permanent, and failure isn't fatal. (Mike Ditka)"
"아이디어가 실패하면 (그것에 대해) 말하기는 쉽다. (요한 볼프강 폰 괴테, 언어명언)","When ideas fail, words come in very handy. (Johann Wolfgang von Goethe)"
"성공만큼 큰 실패는 없다. (제럴드 내크먼 , 성공명언)",Nothing fails like success. (Gerald Nachman)
"실패하는 길은 여럿이나 성공하는 길은 오직 하나다. (아리스토텔레스, 성공명언)",It is possible to fail in many ways...while to succeed is possible only in one way. (Aristotle)
"성공이란 열정을 잃지 않고 실패를 거듭할 수 있는 능력이다. (윈스턴 처칠, 성공명언)",Success is the ability to go from one failure to another with no loss of enthusiasm. (Sir Winston Churchill)
"실패가 나태함에 대한 유일한 징벌은 아니다. 다른 이들의 성공도 있지 않은가. (쥘 르나르, 노력명언)",Failure is not the only punishment for laziness; there is also the success of others. (Jules Renard)
"유머의 미덕은 바로 이것이다. 실패해도 누구도 당신을 비웃지 않는다는 것. (A. 휘트니 브라운, 자기관리명언)","That is the saving grace of humor, if you fail no one is laughing at you. (A. Whitney Brown)"
"나는 성공의 열쇠는 모른다. 그러나 실패의 열쇠는 모두의 비위를 맞추려 하는 것이다. (빌 코스비, 성공명언)","I don't know the key to success, but the key to failure is trying to please everybody. (Bill Cosby)"
"무엇이 행복을 주는지 말하기는 퍽 어렵다. 가난도 부도 둘 다 지금껏 실패했으니까. (킨 허바드, 행복명언)",It is pretty hard to tell what does bring happiness; poverty and wealth have both failed. (Kin Hubbard)
"사람은 실패가 아니라 성공하기 위해 태어난다. (헨리 데이비드 소로우, 성공명언)","Men are born to succeed, not fail. (Henry David Thoreau)"
"크게 실패할 용기있는 자만이 크게 이룰 수 있습니다. (존 F. 케네디, 용기명언)",Only those who dare to fail greatly can ever achieve greatly. (John F. Kennedy)
"인생에서 실패한 사람 중 다수는 성공을 목전에 두고도 모른 채 포기한 이들이다. (토마스 A. 에디슨, 성공명언)",Many of life's failures are people who did not realize how close they were to success when they gave up. (Thomas A. Edison)
"나는 결국 실패할 대의를 추구하여 승리하기보다는 결국 승리할 대의를 따르다 실패하겠다. (우드로 윌슨, 도전명언)",I would rather fail in a cause that will ultimately triumph than to triumph in a cause that will ultimately fail. (Woodrow Wilson)
"여왕처럼 생각하세요. 여왕은 실패를 두려워하지 않는 답니다. 실패는 위대함을 향한 또 하나의 디딤돌이니까요. (오프라 윈프리, 용기명언)",Think like a queen. A queen is not afraid to fail. Failure is another stepping-stone to greatness. (Oprah Winfrey)
"실패는 중요하지 않다. 자신을 조롱하기 위해서는 용기가 필요하다. (찰리 채플린, 용기명언)",Failure is unimportant. It takes courage to make a fool of yourself. (Charlie Chaplin)
"가장 큰 영광은 한 번도 실패하지 않음이 아니라 실패할 때마다 다시 일어서는 데에 있다. (공자, 노력명언)","Our greatest glory is not in never falling, but in rising every time we fall. (Confucius)"
"성공은 종종 실패가 불가피하다는 것을 모르는 사람들에 의해 달성된다. (가브리엘(코코) 샤넬, 성공명언)",Success is often achieved by those who don't know that failure is inevitable. (Gabriel Coco Chanel)
"확실한 성공 공식은 알려줄 수 없지만 실패 공식은 알려줄 수 있다. 늘 모두의 비위를 맞추려 하라. (허버트 베이야드 스워프, 성공명언)","I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time. (Herbert Bayard Swope)"
"일단 당신이 성공을 위해 자신과 가족이 치뤄야 할 대가를 인정하면 사소한 아픔, 경쟁자의 압력, 일시적 실패는 감내할 수 있다. (빈센트 롬바르디, 도전명언)","Once you agree upon the price you and your family must pay for success, it enables you to ignore the minor hurts, the opponent's pressure, and the temporary failures. (Vincent Lombardi)"
"사람들은 보통 전쟁을 죽도록 두려워하고, 부자들은 아무 것도 사지 않으려 하기 때문에 모든 전시회는 실패로 끝났다.(1939년 지인에게 보낸 편지에서 미술전의 실패에 대해 쓰면서) (프리다 칼로, 전쟁명언)","People in general are scared to death of the war and all the exhibition have been a failure, because the rich - don't want to buy anything. (Frida Kahlo)"
"성공하려고 아무리 열심히 노력해도 실패에 대한 두려움이 마음에 가득하다면, 노력하지 않게 되고 정진이 허사가 되어 성공은 불가능해질 것이다. (보두앵, 노력명언)","No matter how hard you work for success if your thought is saturated with the fear of failure, it will kill your efforts, neutralize your endeavors and make success impossible. (Baudjuin)"
"사람을 알기위해서는 어떻게 목표 달성에 실패하는가 보다는, 어떻게 목표 달성에 성공하는가를 살피라. 왜냐하면 실패할 때에는 자존심이 우리를 지탱해 주지만 성공할 때에는 자존심이 우리를 배반하기 때문이다. (찰스 칼렙 콜튼, 자신감명언)","To know a man, observe how he wins his object, rather than how he loses it; for when we fail our pride supports us; when we succeed, it betrays us. (Charles Caleb Colton)"
"선수 생활을 통틀어 나는 9000개 이상 슛을 놓쳤다. 거의 300회의 경기에서 패배했다. 경기를 뒤집을 수 있는 슛 기회에서 26번 실패했다. 나는 살아오면서 계속 실패를 거듭했다. 그것이 내가 성공한 이유다. (마이클 조던, 성공명언)",I've missed more than 9000 shots in my career. I've lost almost 300 games. 26 times I've been trusted to take the game winning shot and missed. I've failed over and over and over again in my life. And that is why I succeed. (Michael Jordan)
"할 수 없을 것 같은 일을 하라. 실패하라. 그리고 다시 도전하라. 이번에는 더 잘 해보라. 넘어져 본 적이 없는 사람은 단지 위험을 감수해 본 적이 없는 사람일 뿐이다. 이제 여러분 차례이다. 이 순간을 자신의 것으로 만들라. (오프라 윈프리, 도전명언)",Do the one thing you think you cannot do. Fail at it. Try again. Do better the second time. The only people who never tumble are those who never mount the high wire. This is your moment. Own it. (Oprah Winfrey)
"인내의 기술을 배워라. 목표를 달성할 수 있을지 마음이 불안해 질 때, 단련한 대로 마음을 다스려라. 인내하지 못하면 긴장감과 두려움이 생기고 낙담해 실패한다. 인내할 줄 알아야 자신감, 결단력, 합리적 시각이 생겨서 끝내 성공할 수 있다. (브라이언 아담스, 인내명언)","Learn the art of patience. Apply discipline to your thoughts when they become anxious over the outcome of a goal. Impatience breeds anxiety, fear, discouragement and failure. Patience creates confidence, decisiveness, and a rational outlook, which eventually leads to success. (Brian Adams)"
"결혼은 이제 더 이상 평생을 함께 한다는 의미가 아니다. 그러기에는 인생이 너무 길다. 결혼은 사랑을 위한 것이다. 사랑은 기꺼이 책임지려 한다. 사랑은 헌신을 원한다. 결혼은 희망적이고 찬란하기에 찬양받아야한다. 결혼이 평생 지속되지 않는다고 해서 실패했다 할 수는 없다. (자넷 윈터슨 , 일명언)",Marriage isn't for life any more -- life is too long. Marriage is for love. Love gladly accepts responsibility. Love wants commitment. Marriage should be celebrated as the optimistic and glorious thing that it is. We can't call it a failure if it doesn't last forever. (Jeanette Winterson)
"돈이 돈을 낳는다. (돈이 돈을 번다.) (존 레이, 돈명언)",Money begets money. (John Ray)
"무한한 돈은 전쟁의 핏줄이 된다. (키케로, 돈명언)",Endless money forms the sinews of war. (Cicero)
"가난은 인격의 스승이다. (안티파네스, 돈명언)",Poverty is the schoolmaster of character. (Antiphanes)
"돈은 좇을수록 손에 쥐기 힘들어진다. (마이크 테이텀, 돈명언)","The more you chase money, the harder it is to catch it. (Mike Tatum)"
"오늘은 사사건건 부딪치네요. (시드 비셔스 , 돈명언)",Today everything's a conflict of interest. (Sid Vicious)
"부는 많은 걱정거리를 해결해 준다. (메난드로스, 돈명언)",Riches cover a multitude of woes. (Menander)
"소유가 늘 때마다 근심도 늘어간다. (존 러스킨, 돈명언)",Every increased possession loads us with new weariness. (John Ruskin)
"먹고 살기 위해 죽을 것까진 없잖아. (린 존스턴, 돈명언)",You don't have to die in order to make a living. (Lynn Johnston)
"절약하지 않는 자는 고통받게 될 것이니라. (공자, 돈명언)",He who will not economize will have to agonize. (Confucius)
"돈이 가난보다 낫다. 오직 금전적인 이유에서만. (우디 알렌, 돈명언)","Money is better than poverty, if only for financial reasons. (Woody Allen)"
"돈. 세상에서 돈보다 더 사람의 사기를 꺾는 것은 없다. (소포클레스, 돈명언)",Money: There's nothing in the world so demoralizing as money. (Sophocles)
"돈이 수중에 들어오기 전까진 절대로 쓰지 마라. (토마스 제퍼슨, 돈명언)",Never spend your money before you have it. (Thomas Jefferson)
"돈은 유일한 해답은 아니지만 차이를 만들어 낸다. (버락 오바마, 돈명언)","Money is not the only answer, but it makes a difference. (Barack Obama)"
"돈을 받는 모든 직업은 마음을 빼앗고 타락시킨다. (아리스토텔레스, 돈명언)",All paid jobs absorb and degrade the mind. (Aristotle)
"돈을 신 모시듯 하면 악마처럼 그대를 괴롭힐 것이다. (헨리 필딩, 돈명언)",Make money your god and it will plague you like the devil. (Henry Fielding)
"돈 생각을 떨쳐내는 유일한 방법은 돈을 많이 갖는 것이다. (이디스 워튼 , 돈명언)",The only way not to think about money is to have a great deal of it. (Edith Wharton)
"부가 늘어나는 사람은 걱정도 늘어난다. (벤자민 프랭클린, 돈명언)",He who multiplies riches multiplies cares. (Benjamin Franklin)
"타락한 돈 조금이 그의 주머니 바닥을 태워버렸다. (토머스 모어 경, 돈명언)","A little wanton money, which burned out the bottom of his purse. (Sir Thomas More)"
"부는 지혜로운 사람의 노예이자 바보의 주인이다. (세네카, 돈명언)",Wealth is the slave of a wise man. The master of a fool. (Seneca)
"가격은 우리가 내는 돈이며, 가치는 그것을 통해 얻는 것이다. (워런 버핏, 돈명언)",Price is what you pay. Value is what you get. (Warren Buffett)
"삶은 소유가 아닌 창조를 통해 드러난다. (비다 D. 스커더, 돈명언)","It is through creating, not possessing, that life is revealed. (Vida D. Scudder)"
"사람은 가난해야 베풂의 풍요로움을 알 수 있다. (조지 앨리엇, 돈명언)",One must be poor to know the luxury of giving. (George Eliot)
"적게 가지는 것은 소유다. 많이 가지는 것은 혼란이다. (노자, 돈명언)",To have little is to possess. To have plenty is to be perplexed. (Lao-tzu)
"돈이 없는 사람은 가난하다. 돈 밖에 없는 사람은 더 가난하다. (작자 미상, 돈명언)",The fellow who has no money is poor; the fellow who has nothing but money is poorer still. (Unknown)
"정직하게 백만장자가 된 사람은 없다. (윌리엄 제닝스 브라이언, 돈명언)",No one can earn a million dollars honestly. (William Jennings Bryan)
"경제적 빈곤은 문제가 아니다. 생각의 빈곤이 문제다. (켄 하쿠다, 돈명언)",Lack of money is no obstacle. Lack of an idea is an obstacle. (Ken Hakuta)
"오늘의 투자자는 어제의 성장으로 수익을 내지 않는다. (워런 버핏, 돈명언)",The investor of today does not profit from yesterday's growth. (Warren Buffett)
"나는 평생 쓰고도 남을 돈이 있다. 단, 아무 것도 사지 않는다면. (재키 메이슨, 돈명언)","I have enough money to last me the rest of my life, unless I buy something. (Jackie Mason)"
"가장 적은 것으로도 만족하는 사람이 가장 부유한 사람이다. (소크라테스, 돈명언)",He is richest who is content with the least. (Socrates)
"백만장자들이 그들 부의 단점을 견뎌내는 불굴의 용기보다 더 존경할 만한 것은 없다. (렉스 스타우트, 돈명언)",Nothing is more admirable than the fortitude with which millionaires tolerate the disadvantages of their wealth. (Rex Stout)
"여기서 10억불, 저기서 10억불 하다보면 머지 않아 큰 돈이 된다. (에버렛 더크슨, 돈명언)","A billion here, a billion there, pretty soon it adds up to real money. (Senator Everett Dirksen)"
"돈은 사랑의 핏줄이자 전쟁의 핏줄. (토마스 풀러, 돈명언)",Money is the sinew of love as well as war. (Thomas Fuller)
"돈에 대한 탐욕이 만악의 근원이라 한다. 돈의 결핍도 마찬가지다. (사무엘 버틀러, 돈명언)",It has been said that the love of money is the root of all evil. The want of money is so quite as truly. (Samuel Butler)
"돈을 두 배로 불리는 가장 안전한 방법은 돈을 반으로 접어 주머니에 넣는 것이다. (킨 허바드, 돈명언)",The safest way to double your money is to fold it over and put it in your pocket. (Kin Hubbard)
"부자가 되고 싶으면 버는 것뿐 아니라 모으는 것도 생각하라. (벤자민 프랭클린, 돈명언)","If you would be wealthy, think of saving as well as getting. (Benjamin Franklin)"
"종교는 가난한 자가 부유한 자를 죽이는 일을 막는 것이다. (나폴레옹 보나파르트, 돈명언)",Religion is what keeps the poor from murdering the rich. (Napoleon Bonaparte)
"부는 사치와 게으름의 어머니이고, 가난은 비열함과 악함의 어머니이며, 부와 가난 모두 불만의 어머니이다. (플라톤, 돈명언)","Wealth is the parent of luxury and indolence, and poverty of meanness and viciousness, and both of discontent. (Plato)"
"돈에 관해 자식을 교육시키는 가장 손쉬운 방법은 그 부모가 돈이 없는 것이다. (캐서린 화이트혼, 돈명언)",The easiest way for your children to learn about money is for you not to have any. (Katharine Whitehorn)
"가난은 모든 악의 근원이다. (조지 버나드 쇼, 돈명언)",Lack of money is the root of all evil. (George Bernard Shaw)
"금융은 돈이 마침내 사라질 때까지 이 사람 저 사람 손으로 돌리는 예술이다. (로버트 사노프, 돈명언)",Finance is the art of passing money from hand to hand until it finally disappears. (Robert W. Sarnoff)
"가진 돈을 셀 수 있다면 억만장자가 아니다. (J. 폴 게티, 돈명언)","If you can count your money, you don't have a billion dollars. (J. Paul Getty)"
"돈이란 제 육감과 같아. 그게 없이는 다른 오감을 제대로 사용할 수가 없지. (서머셋 모옴, 돈명언)",Money is like a sixth sense without which you cannot make a complete use of the other five. (W. Somerset Maugham)
"수입이 많은 것이야말로 행복을 보장받는 가장 좋은 열쇠라고 들었거든요. (제인 오스틴, 돈명언)",A large income is the best recipe for happiness I ever heard of. (Jane Austen)
"돈은 날씨와 정반대이다. 누구나 돈 얘기를 꺼려하지만 누구나 돈을 위해 무엇인가 한다. (레베카 존슨, 돈명언)","Money is the opposite of the weather. Nobody talks about it, but everybody does something about it. (Rebecca Johnson)"
"신이 돈에 대해 어떻게 생각하는지 알고 싶다면, 그가 돈을 어떤 사람에게 주는지 살펴보라. (도로시 파커, 돈명언)","If you want to know what God thinks of money, just look at the people he gave it to. (Dorothy Parker)"
"버는 것 보다 적게 쓰는 법을 안다면 현자의 돌을 가진 것과 같다. (벤자민 프랭클린, 돈명언)","If you know how to spend less than you get, you have the philosopher's stone. (Benjamin Franklin)"
"부자는 누구인가? 만족하는 이다. 만족하는 이는 누구인가? 그런 이는 없다. (벤자민 프랭클린, 돈명언)",Who is rich? He that is content. Who is that? Nobody. (Benjamin Franklin)
"부자가 되려면 부자들과 어울려 살아가는 끔찍함을 견뎌야 한다. (로건 피어설 스미스, 돈명언)",It is the wretchedness of being rich that you have to live with rich people. (Logan Pearsall Smith)
"돈을 버는 것은 예술이고, 일하는 것도 예술이며, 훌륭한 사업이야말로 가장 뛰어난 예술이다. (앤디 워홀, 돈명언)",Making money is art and working is art and good business is the best art of all. (Andy Warhol)
"돈과 관련해서, 쉽게 사는 방법은 생활 수준을 형편보다 한 단계 낮추는 것이다. (헨리 테일러 경, 돈명언)",The art of living easily as to money is to pitch your scale of living one degree below your means. (Sir Henry Taylor)
"행복은 돈으로 살 수 없지만, 가난으로도 살 수 없다. (레오 로스텐, 돈명언)","Money can't buy happiness, but neither can poverty. (Leo Rosten)"
"돈만으로도 세상은 돌아간다. (퍼블릴리어스 사이러스, 돈명언)",Money alone sets all the world in motion. (Publilius Syrus)
"열망은 모든 것을 꽃 피게 하지만 소유는 모든 것을 시들고 스러지게 한다. (마르셀 프루스트, 돈명언)",Desire makes everything blossom; possession makes everything wither and fade. (Marcel Proust)
"치유는 신이 하고 값은 의사가 받는다. (벤자민 프랭클린, 돈명언)","God heals, and the doctor takes the fees. (Benjamin Franklin)"
"나는 부유한 자보다 유망한 자를 선호한다. 사람 없는 돈보다 돈 없는 사람을 원한다. (테미스토클레스, 돈명언)",I choose the likely man in preference to the rich man; I want a man without money rather than money without a man. (Themistocles)
"돈은 내게 큰 동기가 아니라 단지 점수였다. 진짜 재미는 게임을 즐기는 것이다. (도널드 트럼프, 돈명언)","Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game. (Donald Trump)"
"부가 있으면 남에게 호의를 베풀 수 있지만 품위와 예의를 갖춰 베푸는 데는 부 이상의 것이 필요하다. (찰스 칼렙 콜튼, 돈명언)","Riches may enable us to confer favours, but to confer them with propriety and grace requires a something that riches cannot give. (Charles Caleb Colton)"
"돈의 최고 가치는 바로 우리가 돈의 가치가 과대 평가된 세상에서 살고 있다는 사실에 있다. (헨리 루이스 멩켄, 돈명언)",The chief value of money lies in the fact that one lives in a world in which it is overestimated. (H. L. Mencken)
"부를 견딜 수 없다는 것은 의지박약의 증거이다. (세네카, 돈명언)",It is the sign of a weak mind to be unable to bear wealth. (Seneca)
"돈이면 무엇이든 된다고 생각하는 사람은 돈을 위해 무엇이든 하는 사람으로 볼 수 있다. (벤자민 프랭클린, 돈명언)",He that is of the opinion money will do everything may well be suspected of doing everything for money. (Benjamin Franklin)
"세상에는 돈이 있는 사람과 부자인 사람이 있다. (가브리엘(코코) 샤넬, 돈명언)",There are people who have money and people who are rich. (Gabriel Coco Chanel)
"가난은 부끄러울 일이 아니지만, 가난을 수치스럽게 생각하는 것은 부끄러운 일이다. (벤자민 프랭클린, 돈명언)","Having been poor is no shame, but being ashamed of it, is. (Benjamin Franklin)"
"돈은 머리에 넣고 다녀라, 절대로 가슴에 품지 마라. (조나단 스위프트, 돈명언)","A wise man should have money in his head, but not in his heart. (Jonathan Swift)"
"부자가 재산을 자랑하더라도 그 부를 어떻게 쓰는가를 알기 전에는 칭찬하지 마라. (소크라테스, 돈명언)","If a man is proud of his wealth, he should not be praised until it is known how he employs it. (Socrates)"
"한 푼 아낀 것은 한 푼 번 것이나 마찬가지다. (벤자민 프랭클린, 돈명언)",A penny saved is a penny earned. (Benjamin Franklin)
"만일 자유 사회가 가난한 다수를 도울 수 없다면, 부유한 소수도 구할 수 없습니다. (존 F. 케네디, 돈명언)","If a free society cannot help the many who are poor, it cannot save the few who are rich. (John F. Kennedy)"
"소유하고 있는 대상은 처음 그것을 추구할 때의 동일한 매력을 유지하는 경우가 거의 없다. (플라니 2세, 돈명언)",An object in possession seldom retains the same charm that it had in pursuit. (Pliny the Younger)
"처음으로 텔레비전을 샀을 때, 나는 사람들과의 친밀한 관계 형성에 대한 관심을 끊었다. (앤디 워홀, 돈명언)","When I got my first television set, I stopped caring so much about having close relationships. (Andy Warhol)"
"어느 나라에서든 부자는 땅을 기어다니는 벌레다. (G. K. 체스터튼, 돈명언)",The rich are the scum of the earth in every country. (G. K. Chesterton)
"돈을 처음 만드는 것은 은행이지만, 오래 쓰는 것은 당신의 몫이다. (에반 에사르, 돈명언)","The mint makes it first, it is up to you to make it last. (Evan Esar)"
"돈의 가치를 알고자 하거든 가서 돈을 조금 빌려보라. 돈을 빌리러 가는 것은 슬픔을 빌리러 가는 것이다. (벤자민 프랭클린, 돈명언)","If you would know the value of money, go try to borrow some; for he that goes a-borrowing goes a-sorrowing. (Benjamin Franklin)"
"돈이 있으면 하기 싫어하는 일로부터 해방되지. 나는 거의 모든 일을 하기 싫어하니까, 돈은 유용한 거야. (그루초 마르크스, 돈명언)","Money frees you from doing things you dislike. Since I dislike doing nearly everything, money is handy. (Groucho Marx)"
"가난으로 재능이 좌절된 사람은 출세하기 쉽지 않다. (유베날리스, 돈명언)",It is not easy for men to rise whose qualities are thwarted by poverty. (Juvenal)
"(소유권을 주장하기보다) 실제 소유하고 있는 것이 중요하다. (콜리 시버, 돈명언)",Possession is eleven points in the law. (Colley Cibber)
"스스로에게는 부자인 양, 친구들에게는 빈자인 양 행동하라. (유베날리스, 돈명언)",Be rich to yourself and poor to your friends. (Juvenal)
"인기 있는 사람이 되기보단 고정 수입을 버는 편이 낫다. (오스카 와일드, 돈명언)",It is better to have a permanent income than to be fascinating. (Oscar Wilde)
"내 문제는 총(總)생활 습관과 순(純)수입 사이 조화를 이루는 일이다. (에롤 플린, 돈명언)",My problem lies in reconciling my gross habits with my net income. (Errol Flynn)
"매월 말 조금씩 저금을 해 보면, 연말에 얼마나 적은 금액이 모였는지 알고 놀라게 될 것이다. (어니스트 해스킨스, 돈명언)",Save a little money each month and at the end of the year you'll be surprised at how little you have. (Ernest Haskins)
"나는 모든 것을 가졌지만, 아무것도 가지지 않았고, 아무것도 가지지 않았지만 그 무엇도 필요로 하지 않는다. (테렌스, 돈명언)","I have everything, yet have nothing; and although I possess nothing, still of nothing am I in want. (Terence)"
"가난한 사람들이 때때로 남에게 베풀 때 자신들이 가난하다고 느끼지 않다는 걸 그는 알게 되었다. (라와나 블랙웰, 돈명언)",He had learned over the years that poor people did not feel so poor when allowed to give occasionally. (Lawana Blackwell)
"그는 사람들이 돈을 경멸한다고 하는 말을 들어왔다. 그는 사람들이 돈 없이 생활을 꾸려나가기를 시도해 보았는지 궁금했다. (서머셋 모옴, 돈명언)",He had heard people speak contemptuously of money: he wondered if they had ever tried to do without it. (W. Somerset Maugham)
"세상의 모든 부자들이 자기들끼리 재산을 나눈다면 모두에게 돌아갈 만큼 충분치 않을 것이다. (크리스티나 스테드, 돈명언)",If all the rich people in the world divided up their money among themselves there wouldn't be enough to go around. (Christina Stead)
"내 수입보다 훨씬 더 많이 쓰며 살다 보니 돈과는 별거하고 있다고 말해도 되겠다. (E. E. 커밍스, 돈명언)",I'm living so far beyond my income that we may almost be said to be living apart. (E. E. Cummings)
"누군가 부자라고 해서 반드시 똑똑할 거라는 바보 같은 생각을 버려라. 정 반대의 증거가 넘쳐난다. (줄리어스 로젠월드, 돈명언)",Do not be fooled into believing that because a man is rich he is necessarily smart. There is ample proof to the contrary. (Julius Rosenwald)
"언젠가 나도 부자가 되고 싶다. 어떤 이들은 돈이 너무 많아서 인간에 대한 경외심을 모두 잃는다. 나도 그 정도로 부자가 되고 싶다. (리타 러드너, 돈명언)",Someday I want to be rich. Some people get so rich they lose all respect for humanity. That's how rich I want to be. (Rita Rudner)
"공정한 수단으로 벌 수 있다면, 돈을 벌어라. 공정한 수단으로 벌 수 없다면, 그래도 어떻게든 벌어라. (호라티우스, 돈명언)","Make money, money by fair means if you can, if not, but any means money. (Horace)"
"가난에 대한 두려움이 삶을 지배하도록 내버려두면, 그 대가로 당신은 먹기는 할 것이나 살지는 못할 것이다. (조지 버나드 쇼, 돈명언)","You are going to let the fear of poverty govern your life and your reward will be that you will eat, but you will not live. (George Bernard Shaw)"
"자본주의의 고질적인 폐해는 풍요의 불평등한 분배이고, 사회주의의 태생적 미덕은 가난의 평등한 분배다. (윈스턴 처칠, 돈명언)",The inherent vice of capitalism is the unequal sharing of blessings. The inherent virtue of socialism is the equal sharing of misery. (Sir Winston Churchill)
"아무리 부자나 유명인, 권력가가 된들, 죽고 나면 당신의 장례식 참석자 수는 날씨에 따라 다를 것이다. (마이클 프리처드, 돈명언)","No matter how rich you become, how famous or powerful, when you die the size of your funeral will still pretty much depend on the weather. (Michael Pritchard)"
"나는 돈을 벌기 위해 사업을 시작했고, 거기서 예술이 나왔다. 사람들이 이 말에 환멸을 느껴도 어쩔 수 없다. 진실이니까. (찰리 채플린, 돈명언)","I went into the business for the money, and the art grew out of it. If people are disillusioned by that remark, I can't help it. It's the truth. (Charlie Chaplin)"
"일찍 일어나고 일찍 자는 것은 남자를 건강하게 하고, 부자로 만들고, 현명하게 한다. (벤자민 프랭클린, 돈명언)","Early to bed and early to rise makes a man healthy, wealthy, and wise. (Benjamin Franklin)"
"우리가 무엇에든지 마음을 너무 많이 주기에 앞서, 그것을 이미 가지고 있는 이들이 얼마나 행복한지를 살필 일이다. (프랑수아 드 라 로슈푸코, 돈명언)","Before we set our hearts too much upon anything, let us examine how happy those are who already possess it. (Francois de La Rochefoucauld)"
"자신이 많이 가지고 있다고 해서 자신보다 훨씬 덜 가진 사람들에 대해 쉽게 말해 버리는 사람들보다 더 우스꽝스러운 것은 없어. (제인 오스틴, 돈명언)",Nothing amuses me more than the easy manner with which everybody settles the abundance of those who have a great deal less than themselves. (Jane Austen)
